decade,position,artist,song,indicativerevenue,us,uk,de,fr,ca,au
"2010s","99","Rihanna & Drake","Work","13805.3046068938","1","2","5","1","1","5"
"2010s","100","Jennifer Lopez & Pitbull","On The Floor","13772.8725288054","3","1","1","1","1","1"
"2010s","101","Bruno Mars","Locked Out Of Heaven","13734.9658986115","1","2","7","3","1","4"
"2010s","102","Bastille","Pompeii","13654.8194577654","5","2","6","96","6","4"
"2010s","103","Charlie Puth","Attention","13471.9407760327","5","9","9","3","6","10"
"2010s","104","Clean Bandit & Jess Glynne","Rather Be","13445.7901722708","10","1","1","2","13","2"
"2010s","105","Clean Bandit, Sean Paul & Anne-Marie","Rockabye","13431.7603236978","9","1","1","4","4","1"
"2010s","106","Katy Perry","Roar","13425.6587538502","1","1","2","5","1","1"
"2010s","107","Post Malone & Ty Dolla $ign","Psycho","13414.4944689006","1","4","6","102","1","1"
"2010s","108","Calvin Harris & Dua Lipa","One Kiss","13256.1065658775","26","1","1","2","7","3"
"2010s","109","Bruno Mars","Grenade","13206.9288648745","1","1","1","7","1","1"
"2010s","110","Ariana Grande","Thank U, Next","13195.6691474153","1","1","13","12","1","1"
"2010s","111","Lorde","Royals","13191.873880214","1","1","8","4","1","-"
"2010s","112","Fetty Wap","Trap Queen","13085.133893179","2","8","77","17","11","25"
"2010s","113","Zedd, Maren Morris & Grey","The Middle","12957.2363439329","5","7","15","68","6","7"
"2010s","114","Katy Perry","Firework","12890.918650224","1","3","4","7","1","3"
"2010s","115","Taio Cruz","Dynamite","12861.6859727295","2","1","3","5","1","1"
"2010s","116","Rihanna & Eminem","Love The Way You Lie","12767.8371155645","1","2","1","3","1","1"
"2010s","117","Chris Brown & Drake","No Guidance","12766.5221343943","5","6","63","118","7","7"
"2010s","118","Pink & Nate Ruess","Just Give Me A Reason","12738.4397115629","1","2","1","4","1","1"
"2010s","119","Bruno Mars","24K Magic","12720.9551823671","4","5","14","1","3","3"
"2010s","120","Ed Sheeran","Photograph","12703.0343552033","10","15","4","9","4","9"
"2010s","121","fun.","We Are Young","12680.0763519976","1","1","4","7","1","1"
"2010s","122","Desiigner","Panda","12628.3411494769","1","7","13","16","4","7"
"2010s","123","Post Malone","Circles","12594.4280174186","1","3","17","78","2","2"
"2010s","124","will.i.am & Britney Spears","Scream & Shout","12482.984717122","3","1","1","1","1","2"
"2010s","125","Maroon 5","Sugar","12437.3292091365","2","7","41","15","2","6"
"2010s","126","Drake","Hotline Bling","12436.7372451937","2","3","18","9","3","2"
"2010s","127","Major Lazer, Justin Bieber & MO","Cold Water","12345.0029528183","2","1","2","2","1","1"
"2010s","128","Shawn Mendes","Treat You Better","12303.83334723","6","6","4","39","7","4"
"2010s","129","DNCE","Cake By The Ocean","12273.1732619544","9","4","6","23","7","6"
"2010s","130","Ed Sheeran & Khalid","Beautiful People","12119.0116958019","13","1","5","34","6","4"
"2010s","131","Khalid & Normani","Love Lies","12116.4901213695","9","12","36","-","21","3"
"2010s","132","Imagine Dragons","Demons","12115.4862674306","6","13","15","15","4","11"
"2010s","133","Rihanna","Only Girl (In The World)","12088.6852196514","1","1","2","2","1","1"
"2010s","134","Fifth Harmony & Ty Dolla $ign","Work From Home","12030.8414837333","4","2","7","17","4","3"
"2010s","135","Magic!","Rude","12009.9417394162","1","1","7","51","6","2"
"2010s","136","Shawn Mendes","There's Nothing Holdin' Me Back","12001.1360944732","6","4","5","17","6","4"
"2010s","137","Mr Probz","Waves","11994.7774613568","14","1","1","3","10","3"
"2010s","138","Ed Sheeran","Castle On The Hill","11986.0084084501","6","2","2","3","2","2"
"2010s","139","Jason Derulo","Want To Want Me","11984.4701411429","5","1","2","6","5","4"
"2010s","140","Marshmello & Anne-Marie","Friends","11951.2676694584","11","4","1","29","5","4"
"2010s","141","Ke$ha","Tik-Toc","11869.9362385574","1","4","1","1","1","1"
"2010s","142","Kygo & Selena Gomez","It Ain't Me","11865.6328819098","10","7","2","5","2","4"
"2010s","143","Flo-Rida","Good Feeling","11820.7291807114","3","1","1","3","2","4"
"2010s","144","Drake","In My Feelings","11752.5027663313","1","1","4","5","1","1"
"2010s","145","Kendrick Lamar","Humble","11402.2753971274","1","6","11","21","2","2"
"2010s","146","Justin Timberlake","Mirrors","11387.2110364805","2","1","2","15","4","10"
"2010s","147","XXXTentacion","Sad!","11384.2002574708","1","5","12","23","2","4"
"2010s","148","Rihanna & Mikky Ekko","Stay","11378.5993064132","3","4","2","2","1","4"
"2010s","149","Skrillex & Diplo","Where Are U Now","11348.5169435508","8","3","33","24","5","3"
"2010s","150","Shakira & Freshly Ground","Waka Waka (This Time For Africa)","11294.3028987341","38","21","1","1","11","32"
"2010s","151","Taylor Swift","Blank Space","11235.4151562571","1","4","9","27","1","1"
"2010s","152","Drake","Nice For What","11216.23274603","1","1","9","28","1","1"
"2010s","153","Khalid","Better","11213.8401705003","8","15","49","185","14","6"
"2010s","154","Tove Lo & Hippie Sabotage","Habits (Stay High)","11146.9815180138","3","6","14","2","3","3"
"2010s","155","The Weeknd","Earned It (Fifty Shades Of Grey)","11046.1003869799","3","4","17","2","8","13"
"2010s","156","Jason Derulo & 2 Chainz","Talk Dirty","11044.6943542772","3","1","1","3","3","1"
"2010s","157","Train","Hey, Soul Sister","10991.1206668678","3","18","7","15","3","1"
"2010s","158","Maroon 5","One More Night","10984.6841474095","1","8","17","9","2","2"
"2010s","159","fun.","Some Nights","10975.2769538792","3","7","25","37","4","1"
"2010s","160","Katy Perry & Snoop Dogg","California Gurls","10931.3449067497","1","1","3","5","1","1"
"2010s","161","G-Eazy & Bebe Rexha","Me, Myself & I","10857.575665241","7","13","7","9","9","19"
"2010s","162","The Weeknd & Daft Punk","I Feel It Coming","10851.5725288987","4","9","29","1","10","7"
"2010s","163","Ariana Grande","No Tears Left To Cry","10845.9434035784","3","2","2","4","2","1"
"2010s","164","Kungs & Cookin' On 3 Burners","This Girl","10845.6263649448","26","2","1","1","8","17"
"2010s","165","Foster the People","Pumped Up Kicks","10803.4062235507","3","18","9","10","3","1"
"2010s","166","Lady GaGa","Bad Romance","10802.7464776979","2","1","1","1","1","2"
"2010s","167","Post Malone & Quavo","Congratulations","10724.750120067","8","26","88","112","14","30"
"2010s","168","Maroon 5 & Wiz Khalifa","Payphone","10717.7030392906","2","1","4","8","1","2"
"2010s","169","Rag'n'Bone Man","Human","10652.8093890419","74","2","1","2","53","17"
"2010s","170","Lil Tecca","Ran$om","10652.1575045791","4","-","44","24","2","8"
"2010s","171","Sam Smith","I'm Not The Only One","10582.2012244145","5","3","39","13","2","11"
"2010s","172","Miley Cyrus","Wrecking Ball","10572.063612359","1","1","6","2","1","2"
"2010s","173","Iggy Azalea & Charli XCX","Fancy","10549.0483785518","1","5","51","21","1","5"
"2010s","174","DJ Snake, Selena Gomez, Ozuna & Cardi B","Taki Taki","10519.9514693646","11","15","8","2","7","24"
"2010s","175","Rihanna & Eminem","The Monster","10509.9912386963","1","1","3","1","1","1"
"2010s","176","Zayn & Taylor Swift","I Don't Wanna Live Forever (Fifty Shades Darker)","10509.0696958634","2","5","2","4","2","3"
"2010s","177","Cee-Lo Green","F**k You/Forget You","10484.2768297063","2","1","11","84","7","5"
"2010s","178","Nico & Vinz","Am I Wrong","10454.3893275944","4","1","3","6","1","2"
"2010s","179","The Black Eyed Peas","I Gotta Feeling","10450.3428109292","9","14","11","15","7","10"
"2010s","180","DJ Khaled, Rihanna & Bryson Tiller","Wild Thoughts","10355.8867861984","2","1","4","2","2","2"
"2010s","181","Lil Nas X","Panini","10355.1744920293","5","21","85","93","8","15"
"2010s","182","DJ Khaled, Justin Bieber, Quavo, Chance The Rapper & Lil' Wayne","I'm The One","10295.1595368728","1","1","4","11","1","1"
"2010s","183","Dynoro & Gigi D'Agostino","In My Mind","10228.7692159272","-","5","1","7","50","-"
"2010s","184","David Guetta & Usher","Without You","10211.7159818975","4","6","7","6","3","6"
"2010s","185","Nicki Minaj","Starships","10184.5179197099","5","2","17","5","4","2"
"2010s","186","Dean Lewis","Be Alright","10170.2070073009","23","11","8","34","27","1"
"2010s","187","Jessie J, Nicki Minaj & Ariana Grande","Bang Bang","10160.4040056905","3","1","13","47","3","4"
"2010s","188","Avicii","Hey, Brother","10099.2893245592","16","2","1","4","10","2"
"2010s","189","Vance Joy","Riptide","10059.6260182385","30","10","9","65","13","6"
"2010s","190","Alan Walker","Faded","10057.5173355792","80","7","1","1","32","2"
"2010s","191","Cardi B","Bodak Yellow (Money Moves)","10048.6906876067","1","24","-","70","6","33"
"2010s","192","Sam Smith","Too Good At Goodbyes","9967.47744028662","4","1","18","6","2","1"
"2010s","193","Taylor Swift","I Knew You Were Trouble","9957.92516346681","2","2","9","14","2","3"
"2010s","194","Alex Clare","Too Close","9862.02965666844","7","4","1","9","14","-"
"2010s","195","Flo-Rida","Whistle","9850.31755906056","1","2","2","2","1","1"
"2010s","196","Bruno Mars","When I Was Your Man","9811.81768947588","1","2","23","9","3","6"
"2010s","197","Ellie Goulding","Burn","9794.72769735297","13","1","4","9","14","6"
"2010s","198","Future","Mask Off","9793.89180722889","5","22","12","16","5","13"
"2010s","199","Meek Mill & Drake","Going Bad","9789.30769505624","6","13","92","126","3","32"
"2010s","200","Post Malone & Young Thug","Goodbyes","9779.90499624415","3","5","16","47","5","5"
